Date,Region,Service,Usage_Hours,Location_Based_Emissions_kg,Market_Based_Emissions_kg,Cost_USD
2024-01-01,us-east-1,EC2,720,302.4,90.7,150.00
2024-01-01,us-east-1,S3,720,15.1,4.5,25.00
2024-01-01,us-east-1,RDS,720,151.2,45.4,75.00
2024-01-01,us-east-1,Lambda,2000000,8.4,2.5,18.00
2024-01-01,eu-west-1,EC2,720,223.2,65.0,140.00
2024-01-01,eu-west-1,S3,720,11.2,3.3,22.00
2024-01-01,eu-west-1,Lambda,1000000,5.6,1.6,12.00
2024-01-01,eu-west-1,RDS,720,111.6,32.5,68.00
2024-01-01,ap-southeast-1,EC2,720,295.2,86.1,145.00
2024-01-01,ap-southeast-1,S3,720,14.8,4.3,24.00
2024-01-01,ap-southeast-1,RDS,720,147.6,43.1,72.00
2024-01-01,eu-north-1,EC2,720,7.2,0.0,135.00
2024-01-01,eu-north-1,S3,720,0.4,0.0,21.00
2024-01-01,eu-north-1,Lambda,500000,0.2,0.0,8.00
2024-02-01,us-east-1,EC2,672,283.2,84.9,140.00
2024-02-01,us-east-1,S3,672,14.1,4.2,23.00
2024-02-01,us-east-1,RDS,672,141.4,42.4,70.00
2024-02-01,eu-west-1,EC2,672,208.6,60.8,130.00
2024-02-01,eu-west-1,S3,672,10.5,3.1,20.00
2024-02-01,eu-north-1,EC2,672,6.7,0.0,125.00
2024-03-01,us-east-1,EC2,744,315.4,94.6,155.00
2024-03-01,us-east-1,S3,744,15.7,4.7,26.00
2024-03-01,eu-west-1,EC2,744,232.3,67.7,145.00
2024-03-01,eu-north-1,EC2,744,7.5,0.0,140.00